1	:	20000	-	20001
2	:	20003	-	20007
3	:	20009	-	20019
4	:	20020	-	20026
5	:	20041	-	20044
6	:	20045	-	20052
7	:	20059	-	20062
8	:	20069	-	20078
9	:	20081	-	20090
10	:	20097	-	20098
11	:	20105	-	20111
12	:	20112	-	20124
13	:	20129	-	20135
14	:	20140	-	20148
15	:	20154	-	20159
16	:	20174	-	20179
17	:	20181	-	20185
18	:	20189	-	20196
19	:	20206	-	20212
20	:	20226	-	20235
21	:	20237	-	20243
22	:	20244	-	20254
23	:	20262	-	20279
24	:	20280	-	20286
25	:	20296	-	20303
26	:	20309	-	20315
27	:	20317	-	20327
28	:	20334	-	20340
29	:	20347	-	20371
30	:	20377	-	20379
31	:	20386	-	20396
32	:	20398	-	20406
33	:	20411	-	20416
34	:	20418	-	20422
35	:	20432	-	20434
36	:	20442	-	20448
37	:	20449	-	20453
38	:	20463	-	20469
39	:	20472	-	20484
40	:	20490	-	20497
41	:	20500	-	20507
42	:	20512	-	20517
43	:	20519	-	20527
44	:	20530	-	20544
45	:	20553	-	20556
46	:	20562	-	20572
47	:	20578	-	20589
48	:	20594	-	20599
49	:	20607	-	20614
50	:	20630	-	20642
